osm_id,addr_street,addr_housenumber,amenity,name,brand,operator,ref,wheelchair,internet_access,opening_hours,drive_through,building,cuisine,capacity,tourism,osm_user,osm_timestamp,tags
"70952868",Rue Rebuffy,"2",pub,Rebuffy,,,,,,,,,,,,,2021-09-15T13:31:05Z,"""name""=>""Rebuffy"", ""phone""=>""+33 4 67 66 32 76"", ""amenity""=>""pub"", ""osm_uid""=>""0"", ""smoking""=>""outside"", ""osm_user""=>"""", ""addr:city""=>""Montpellier"", ""addr:street""=>""Rue Rebuffy"", ""osm_version""=>""5"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2021-09-15T13:31:05Z"", ""outdoor_seating""=>""yes"", ""addr:housenumber""=>""2"", ""contact:facebook""=>""https://facebook.com/Rebuffy-Pub-218646201485642"""
"70953431",,,pub,O' Carolans,,,,,,,,,,,,,2024-01-12T19:00:22Z,"""name""=>""O' Carolans"", ""sport""=>""billiards"", ""amenity""=>""pub"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""osm_version""=>""4"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2024-01-12T19:00:22Z"""
"70953945",,,pub,The Shakespeare,,,,no,,,,,,,,,2019-04-23T22:15:24Z,"""name""=>""The Shakespeare"", ""amenity""=>""pub"", ""brewery""=>""yes;various"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""wheelchair""=>""no"", ""osm_version""=>""11"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2019-04-23T22:15:24Z"""
"70956526",,,pub,Fitzpatrick's,,,,limited,,,,,,,,,2016-04-18T09:57:29Z,"""name""=>""Fitzpatrick's"", ""amenity""=>""pub"", ""brewery""=>""Heineken"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""wheelchair""=>""limited"", ""osm_version""=>""6"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2016-04-18T09:57:29Z"""
"71595624",,,pub,La Table des Copains,,,,,,,,,,,,,2022-02-05T08:17:45Z,"""name""=>""La Table des Copains"", ""amenity""=>""pub"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""osm_version""=>""5"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2022-02-05T08:17:45Z"""
"105440548",,,fast_food,La rose des sables 2,,,,yes,,,,,"burger;tacos",,,,2022-03-01T07:57:05Z,"""name""=>""La rose des sables 2"", ""amenity""=>""fast_food"", ""cuisine""=>""burger;tacos"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""wheelchair""=>""yes"", ""osm_version""=>""13"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2022-03-01T07:57:05Z"", ""entrance:step_count""=>""0"", ""entrance:step:height""=>""0"""
"105440558",,,restaurant,Le Ranch,,,,yes,,,,,,,,,2019-09-16T15:08:17Z,"""bar""=>""yes"", ""name""=>""Le Ranch"", ""amenity""=>""restaurant"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""wheelchair""=>""yes"", ""osm_version""=>""10"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2019-09-16T15:08:17Z"", ""entrance:width""=>""0.9"", ""entrance:step_count""=>""0"", ""entrance:step:height""=>""0"""
"105440560",,,pub,,,,,,,,,,,,,,2023-02-11T08:15:26Z,"""amenity""=>""pub"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""osm_version""=>""4"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2023-02-11T08:15:26Z"""
"105440570",,,restaurant,Côté Jardin,,,,yes,wlan,,,,,,,,2019-06-12T18:04:12Z,"""name""=>""Côté Jardin"", ""phone""=>""+33467412046"", ""amenity""=>""restaurant"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""wheelchair""=>""yes"", ""osm_version""=>""7"", ""survey:date""=>""2017-07-06"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2019-06-12T18:04:12Z"", ""internet_access""=>""wlan"""
"248093780",Avenue Pierre d'Adhémar,"30",bar,Le P'tit Mas,,,,no,,,,,,,,,2019-08-18T16:51:48Z,"""name""=>""Le P'tit Mas"", ""amenity""=>""bar"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""addr:city""=>""Montpellier"", ""wheelchair""=>""no"", ""addr:street""=>""Avenue Pierre d'Adhémar"", ""osm_version""=>""4"", ""addr:country""=>""FR"", ""addr:postcode""=>""34000"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2019-08-18T16:51:48Z"", ""addr:housenumber""=>""30"", ""wheelchair:step_height""=>""54"", ""wheelchair:entrance_width""=>""90"""
"251344346",Rue du Carré du Roi,"18",pub,Bar du Carré du Roi,,,,,,,,,,,,,2023-08-31T08:49:15Z,"""name""=>""Bar du Carré du Roi"", ""amenity""=>""pub"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""addr:street""=>""Rue du Carré du Roi"", ""osm_version""=>""6"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2023-08-31T08:49:15Z"", ""indoor_seating""=>""yes"", ""outdoor_seating""=>""yes"", ""addr:housenumber""=>""18"""
"299705248",Rue de la Barralerie,"5",restaurant,Il Pizzaiolo,,,,,,,,,pizza,,,,2023-11-30T18:42:48Z,"""name""=>""Il Pizzaiolo"", ""phone""=>""+33 4 67 56 91 93"", ""amenity""=>""restaurant"", ""cuisine""=>""pizza"", ""osm_uid""=>""0"", ""website""=>""https://il-pizzaiolo.fr/le-snack/"", ""osm_user""=>"""", ""addr:city""=>""Montpellier"", ""addr:street""=>""Rue de la Barralerie"", ""osm_version""=>""6"", ""survey:date""=>""2022-05-31"", ""addr:postcode""=>""34000"", ""osm_changeset""=>""0"", ""osm_timestamp""=>""2023-11-30T18:42:48Z"", ""addr:housenumber""=>""5"""
